"RecipeID","Title","Category","Ingredient","Preparation"
1,"Cotechino con fasoi en bronzon","Secondi","1 cotechino di maiale trentino, 500 gr. di fagioli secchi ; 1 bicchiere di vino rosso ; 1 cipolla bianca ; 1 carota gialla ; 1 costa di sedano ; 2 foglie d'alloro ; concentrato di pomodoro, olio, sale, aglio, prezzemolo. ;","Preparazione Mettere in ammollo i fagioli secchi almeno dodici ore prima di cucinarli. Bollire per un paio d'ore il cotechino che verrà in seguito unito ai fagioli. Risciacquare i fagioli e cuocerli in abbondante acqua per un'ora a fuoco lento. Una volta cotti, tenere l'acqua di cottura. Preparare un soffritto con cipolla, carote, sedano e aglio sminuzzati. Aggiungere i fagioli e bagnare con il vino rosso mantenendo un fuoco vivace. Proseguire la cottura lentamente aggiungendo, al bisogno, l'acqua di cottura che avete conservato. Aggiungere il concentrato di pomodoro, le foglie di alloro e il cotechino tagliato a fette, precedentemente bollito. A fine cottura ­ dopo circa 30 minuti ­ unire il prezzemolo ed eventualmente aggiustare con sale e pepe."
2,"Smacafam","Primi","250 gr. di farina bianca ; 50 gr. di farina saracena ; 1/2 l. di latte ; 1 cucchiaio d'olio ; 200 gr. di lucanica cauriota fresca ; 30 gr. di pancetta affumicata trentina ; 30 gr. di lardo trentino, sale e pepe. ;","Preparazione Mettere in una terrina le farine e aggiungere, mescolando bene, il latte, un cucchiaio d'olio e il sale, nonché mezza lucanica sminuzzata, parte della pancetta affumicata e il lardo tagliato a dadini che avrete in precedenza soffritto, aggiungendo una spruzzata di pepe. Imburrare e infarinare una tortiera di rame, mettervi l'impasto e porvi sopra le fettine di lucanica fresca e il rimanente della pancetta affumicata. Mettere quindi al forno a 200 °C per circa 40 minuti, finché avrà preso un bel colore dorato. Servire con verdura fresca, preferibilmente denti di cane che si trovano in abbondanza a fine carnevale, epoca di maggior gloria per questo singolarissimo, irripetibile piatto trentino."
3,"Zuppa di Crauti e Pancetta affumicata","Secondi","1/2 kg. di crauti trentini;1 hg. di pancetta affumicata trentina;1 osso salmistrato;2 l. d'acqua;una cucchiaiata di farina bianca e una di farina gialla.;","Preparazione Introdurre tutto a freddo in una pentola e far cuocere per 3-4 ore aggiungendo eventualmente ancora acqua o brodo. Attendere che la minestra abbia raggiunto la consistenza desiderata, perché solo così sarà pronta a servire."
4,"Fagiano con Pancetta nostrana","Secondi","1 fagiano ben frollato ; 100 gr. di pancetta nostrana all'aglio caderzone tritata ; 50 gr. di burro, 1 cucchiaio di salvia tritata ; 1 bicchierino di grappa al ginepro ; 1/4 di litro di panna ; sale e pepe. ;","Preparazione Amalgamare pancetta e salvia, un pizzico di pepe e di sale. Riempire con il composto il fagiano, ma tenerne da parte un po' per spalmarlo esternamente sul pennuto. Legare il fagiano e cuocerlo con un po' di burro in casseruola, bagnandolo con la grappa. Prima di servire, tagliarlo a pezzi, recuperare la farcia, distribuirla sui pezzi di fagiano, aggiungere la panna e cucinare ancora il tempo necessario per amalgamare il sugo di cottura. Servire su uno zoccolo di puré di piselli."
5,"Garganelli allo Speck trentino","Primi","100 gr. di Speck trentino;70 gr. di burro;150 gr. di farina tipo 0 ;3 uova per la pasta fresca. ;","Preparazione Sopra un tagliere di legno disporre la farina a fontana, versarvi le uova e impastare molto bene fino ad ottenere un impasto omogeneo. Tirare la sfoglia col matterello. Ritagliare dei piccoli quadrati di sfoglia di 3 centimetri di lato; avvolgere ogni quadrato su un bastoncino di legno rigato grosso all'incirca come una matita, partendo in diagonale da un angolo del quadrato e passarlo sull'apposito pettine. Cuocere i garganelli in abbondante acqua salata e saltarli con lo Speck trentino, tagliato a dadini, e rosolarlo leggermente nel burro."
6,"Caprino trentino in foglie di vite","Antipasti","400 gr. di Caprino trentino ;16-20 foglie di vite in salamoia;4 cucchiai d'olio di semi di girasole ;20 mezze Noci del Bleggio ;peperoncino, pepe. ;","Preparazione Mettere il Caprino in un tegame, spruzzarlo con l'olio, coprirlo con le foglie di vite sgocciolate e lasciare marinare per una notte. Tagliare il formaggio in 16-18 cubetti, condire con peperoncino e pepe macinato. Avvolgere accuratamente ogni cubetto di formaggio con una foglia di vite ed infilarli in spiedini di legno. Spennellare i cubetti con olio e scaldarli, rigirandoli finché le foglie di vite incominciano ad essiccarsi. Scaldare sotto il grill anche le mezze noci, infilarle alternando con i cubetti di formaggio Caprino e servire immediatamente. Al momento di gustare togliere le foglie di vite."
7,"Mele, Noci del Bleggio e Casolèt","Antipasti","200 gr. di formaggio Casolèt della Val di Sole;200 gr. di mele golden delicious della val di Non;50 gr. di noci del Bleggio;","Preparazione Tagliare il Casolèt, compresa la crosta, in piccoli cubi, aggiungere a dadini le mele, unire le noci frantumate e condire con limone, sale e olio."
8,"Casolèt e pere","Antipasti","150 gr. di formaggio Casolèt;1 pera;1 fico secco;olio di noci;limone, sale. ;","Preparazione Tagliare a fette spesse e irregolari il Casolèt e altrettante fette di pera. Condire con una salsa ricavata mettendo nel frullatore mezzo fico secco, olio di noci, limone e un po' di sale. Si tratta di un piatto fantasioso che può servire benissimo anche come dessert."
9,"Cipolle gratinate al Fontal trentino","Secondi","750 gr. di cipolle;125 gr. di formaggio Fontal trentino;3 cucchiai d'olio;1 bicchiere di vino bianco secco;L. 1 di brodo di carne;20 gr. di burro;4 fette di pane;sale, pepe.;","Preparazione Sbucciare e affettare le cipolle. Scaldare il burro con l'olio, aggiungere le cipolle e rosolare finché prendono un colore dorato. Versare il brodo e il vino bianco e lasciare sobbollire per 20 minuti circa, regolare di sale e pepe. Tostare le fette di pane nel forno caldo e metterle da parte. Dividere la zuppa in quattro terrine di coccio, adagiare in ognuna una fetta di pane tostato, cospargere con il Fontal tagliato grossolanamente e gratinare in forno caldo, finché il formaggio si fonde e prende un colore dorato. Togliere dal forno, spolverare con del pepe e servire caldissimo."
10,"Porri e Nostrano de Casel","Antipasti","1 peperone;100 gr. di porri;100 gr. di sedano;50 gr. di formaggio nostrano de Casel;olio d'oliva.;","Preparazione Scottare il peperone, levargli la pelle, pestarlo ricavando una salsa diluita con olio; sopra mettere i porri e il sedano tagliati a rondelle e il formaggio nostrano a striscioline."
